Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	23.02. 	-5 Tage
2024 	12.02. 	-16 Tage
2023 	20.02. 	-8 Tage
2022 	16.02. 	-12 Tage
2021 	24.02. 	-4 Tage
2020 	12.02. 	-16 Tage
2019 	22.02. 	-6 Tage
2018 	03.03. 	3 Tage
2017 	02.03. 	2 Tage
2016 	20.02. 	-8 Tage
2015 	06.03. 	6 Tage
2014 	20.02. 	-8 Tage
2013 	20.03. 	20 Tage
2012 	08.03. 	8 Tage
2011 	05.03. 	5 Tage
2010 	18.03. 	18 Tage
2009 	12.03. 	12 Tage
