Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	27.03. 	0 Tage
2024 	16.03. 	-11 Tage
2023 	27.03. 	0 Tage
2022 	23.03. 	-4 Tage
2021 	25.03. 	-2 Tage
2020 	18.03. 	-9 Tage
2019 	22.03. 	-5 Tage
2018 	08.04. 	12 Tage
2017 	26.03. 	-1 Tag
2016 	31.03. 	4 Tage
2015 	02.04. 	6 Tage
2014 	20.03. 	-7 Tage
2013 	19.04. 	23 Tage
2012 	26.03. 	-1 Tag
