Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	20.03. 	4 Tage
2024 	08.03. 	-8 Tage
2023 	16.03. 	0 Tage
2022 	14.03. 	-2 Tage
2021 	18.03. 	2 Tage
2020 	08.03. 	-8 Tage
2019 	15.03. 	-1 Tag
2018 	31.03. 	15 Tage
